timestamp,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,Label
1715845591.871385,254.200.174.1962261610.0.0.72261617,254.200.174.196,22616,10.0.0.7,22616,17,16,564000000,20,100,0,0,0.0,0.0,1
1715845591.871385,254.210.85.2292261610.0.0.72261617,254.210.85.229,22616,10.0.0.7,22616,17,16,13000000,20,100,0,0,0.0,0.0,1
1715845591.871385,254.210.85.2293164510.0.0.78017,254.210.85.229,31645,10.0.0.7,80,17,16,13000000,20,100,0,0,0.0,0.0,1
1715845591.871385,254.78.16.1783164410.0.0.78017,254.78.16.178,31644,10.0.0.7,80,17,16,75000000,20,100,0,0,0.0,0.0,0
1715845591.871385,254.78.16.1782261610.0.0.72261617,254.78.16.178,22616,10.0.0.7,22616,17,16,47000000,20,100,0,0,0.0,0.0,1
1715845591.871385,27.67.139.2493164210.0.0.78017,27.67.139.249,31642,10.0.0.7,80,17,16,162000000,20,100,0,0,0.0,0.0,0
1715845591.871385,27.67.139.2492261610.0.0.72261617,27.67.139.249,22616,10.0.0.7,22616,17,16,110000000,20,100,0,0,0.0,0.0,1
1715845591.871385,30.99.144.1083167910.0.0.78017,30.99.144.108,31679,10.0.0.7,80,17,15,268000000,20,100,0,0,0.0,0.0,0
1715845591.871385,30.99.144.1082261610.0.0.72261617,30.99.144.108,22616,10.0.0.7,22616,17,15,227000000,20,100,0,0,0.0,0.0,1
1715845591.871385,38.198.233.1423163710.0.0.78017,38.198.233.142,31637,10.0.0.7,80,17,16,328000000,20,100,0,0,0.0,0.0,1
1715845591.871385,38.198.233.1422261610.0.0.72261617,38.198.233.142,22616,10.0.0.7,22616,17,16,292000000,20,100,0,0,0.0,0.0,1
1715845591.871385,38.250.99.1403162210.0.0.78017,38.250.99.140,31622,10.0.0.7,80,17,16,922000000,20,100,0,0,0.0,0.0,1
1715845591.871385,38.250.99.1402261610.0.0.72261617,38.250.99.140,22616,10.0.0.7,22616,17,16,883000000,20,100,0,0,0.0,0.0,1
1715845591.871385,4.174.124.1343165310.0.0.78017,4.174.124.134,31653,10.0.0.7,80,17,15,784000000,20,100,0,0,0.0,0.0,1
1715845591.871385,4.174.124.1342261610.0.0.72261617,4.174.124.134,22616,10.0.0.7,22616,17,15,749000000,20,100,0,0,0.0,0.0,1
1715845591.871385,45.124.72.43164110.0.0.78017,45.124.72.4,31641,10.0.0.7,80,17,16,190000000,20,100,0,0,0.0,0.0,0
1715845591.871385,45.124.72.42261610.0.0.72261617,45.124.72.4,22616,10.0.0.7,22616,17,16,162000000,20,100,0,0,0.0,0.0,1
1715845591.871385,49.115.34.2213168410.0.0.78017,49.115.34.221,31684,10.0.0.7,80,17,15,83000000,20,100,0,0,0.0,0.0,1
1715845591.871385,49.115.34.2212261610.0.0.72261617,49.115.34.221,22616,10.0.0.7,22616,17,15,43000000,20,100,0,0,0.0,0.0,1
1715845591.871385,49.189.210.1463170910.0.0.78017,49.189.210.146,31709,10.0.0.7,80,17,14,792000000,20,100,0,0,0.0,0.0,1
1715845591.871385,49.189.210.1462261610.0.0.72261617,49.189.210.146,22616,10.0.0.7,22616,17,14,752000000,20,100,0,0,0.0,0.0,1
1715845591.871385,53.22.117.783162510.0.0.78017,53.22.117.78,31625,10.0.0.7,80,17,16,816000000,20,100,0,0,0.0,0.0,0
1715845591.871385,53.22.117.782261610.0.0.72261617,53.22.117.78,22616,10.0.0.7,22616,17,16,780000000,20,100,0,0,0.0,0.0,1
1715845591.871385,57.148.221.2143168010.0.0.78017,57.148.221.214,31680,10.0.0.7,80,17,15,227000000,20,100,0,0,0.0,0.0,1
1715845591.871385,57.148.221.2142261610.0.0.72261617,57.148.221.214,22616,10.0.0.7,22616,17,15,203000000,20,100,0,0,0.0,0.0,1
1715845591.871385,57.194.212.1453168110.0.0.78017,57.194.212.145,31681,10.0.0.7,80,17,15,203000000,20,100,0,0,0.0,0.0,1
1715845591.871385,57.194.212.1452261610.0.0.72261617,57.194.212.145,22616,10.0.0.7,22616,17,15,164000000,20,100,0,0,0.0,0.0,1
1715845591.871385,57.4.210.1683163010.0.0.78017,57.4.210.168,31630,10.0.0.7,80,17,16,564000000,20,100,0,0,0.0,0.0,0
1715845591.871385,57.4.210.1682261610.0.0.72261617,57.4.210.168,22616,10.0.0.7,22616,17,16,535000000,20,100,0,0,0.0,0.0,1
1715845591.871385,65.49.104.1383164710.0.0.78017,65.49.104.138,31647,10.0.0.7,80,17,15,974000000,20,100,0,0,0.0,0.0,1
1715845591.871385,65.49.104.1382261610.0.0.72261617,65.49.104.138,22616,10.0.0.7,22616,17,15,951000000,20,100,0,0,0.0,0.0,1
1715845591.871385,78.69.218.2332261610.0.0.72261617,78.69.218.233,22616,10.0.0.7,22616,17,17,41000000,20,100,0,0,0.0,0.0,1
1715845591.871385,8.39.61.2173166910.0.0.78017,8.39.61.217,31669,10.0.0.7,80,17,15,626000000,20,100,0,0,0.0,0.0,0
1715845591.871385,8.39.61.2172261610.0.0.72261617,8.39.61.217,22616,10.0.0.7,22616,17,15,588000000,20,100,0,0,0.0,0.0,1
1715845591.871385,8.59.234.832261610.0.0.72261617,8.59.234.83,22616,10.0.0.7,22616,17,15,877000000,20,100,0,0,0.0,0.0,1
1715845591.871385,8.59.234.833164910.0.0.78017,8.59.234.83,31649,10.0.0.7,80,17,15,877000000,20,100,0,0,0.0,0.0,0
1715845591.871385,80.224.227.302261610.0.0.72261617,80.224.227.30,22616,10.0.0.7,22616,17,15,376000000,20,100,0,0,0.0,0.0,1
1715845591.871385,80.224.227.303167510.0.0.78017,80.224.227.30,31675,10.0.0.7,80,17,14,822000000,20,100,0,0,0.0,0.0,1
1715845591.871385,85.82.244.1613165610.0.0.78017,85.82.244.161,31656,10.0.0.7,80,17,15,680000000,20,100,0,0,0.0,0.0,1
1715845591.871385,85.82.244.1612261610.0.0.72261617,85.82.244.161,22616,10.0.0.7,22616,17,15,649000000,20,100,0,0,0.0,0.0,1
1715845591.871385,86.212.249.1353163410.0.0.78017,86.212.249.135,31634,10.0.0.7,80,17,16,429000000,20,100,0,0,0.0,0.0,1
1715845591.871385,86.212.249.1352261610.0.0.72261617,86.212.249.135,22616,10.0.0.7,22616,17,16,393000000,20,100,0,0,0.0,0.0,1
